Equipment_ID,Base_ID,Base,Type_ID,Equipment_Type,Category,Status,Last_Service,Next_Service,Fuel_Used_L,Operating_Hours,Maintenance_Cost_INR,Spare_Parts,Readiness_Pct,Downtime_Days,Is_Critical
EQ-1034,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-28,2026-08-12,305,196,44300,Available,89.6,0,0
EQ-1035,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-26,2026-10-24,1170,236,90100,Available,83.0,0,0
EQ-1036,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-02,2026-08-01,330,120,29700,Low,53.1,15,1
EQ-1037,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-22,2026-09-20,447,184,29700,Critical Shortage,62.9,14,0
EQ-1038,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-27,2026-10-25,461,97,59900,Available,88.6,0,0
EQ-1039,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-11,2026-08-09,660,128,68800,Available,95.0,0,0
EQ-1040,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-05-03,2026-08-01,1063,204,162700,Available,47.1,16,1
EQ-1041,B05,Leh,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-06,2026-08-05,282,231,115900,Available,83.7,0,0
EQ-1042,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-08,2026-09-06,524,182,38300,Low,66.4,16,0
EQ-1043,B06,Jodhpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-18,2026-09-01,333,253,48500,Available,84.5,0,0
EQ-1044,B06,Jodhpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-03,2026-08-01,923,179,79000,Available,82.5,0,0
EQ-1045,B03,Bhopal,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-30,2026-09-28,260,121,127700,Low,86.3,0,0
EQ-1046,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-19,2026-08-17,841,159,80200,Available,85.2,0,0
EQ-1047,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-03,2026-10-01,798,171,76900,Available,84.1,0,0
EQ-1048,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Maintenance,2026-05-24,2026-08-07,857,247,99100,Low,57.7,5,1
EQ-1049,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-25,2026-10-08,773,212,56000,Available,83.2,0,0
EQ-1050,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-14,2026-08-28,230,154,46500,Available,87.0,0,0
EQ-1051,B08,Pune,ET03,Field Diesel Generator,Power Logistics,Out of Service,2026-07-05,2026-08-19,363,279,147600,Low,23.3,18,1
EQ-1052,B03,Bhopal,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-15,2026-08-29,637,175,52300,Available,80.9,0,0
EQ-1053,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-21,2026-09-04,332,219,53600,Available,82.1,0,0
EQ-1054,B05,Leh,ET05,Mobile Radar Unit,Air Defense,Operational,2026-06-05,2026-08-04,481,225,132400,Low,84.7,0,0
EQ-1055,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-24,2026-08-23,540,221,32900,Low,62.7,3,0
EQ-1056,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-25,2026-08-09,430,315,62300,Critical Shortage,97.8,0,0
EQ-1057,B02,Kanpur,ET04,Tactical UAV Launcher,Surveillance Systems,Out of Service,2026-06-25,2026-07-25,155,153,169900,Critical Shortage,34.4,32,1
EQ-1058,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-02,2026-08-31,932,179,69000,Available,90.2,0,0
EQ-1059,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-13,2026-08-12,527,189,33600,Low,55.3,15,1
EQ-1060,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-30,2026-09-28,597,218,19500,Available,80.8,0,0
EQ-1061,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-06,2026-10-04,843,171,79500,Available,85.7,0,0
EQ-1062,B06,Jodhpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-15,2026-08-29,333,248,59000,Available,84.0,0,0
EQ-1063,B07,Siliguri,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-10,2026-08-09,158,139,84400,Available,83.7,0,0
EQ-1064,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-07,2026-08-21,253,188,50300,Available,92.7,0,0
EQ-1065,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-11,2026-09-09,1056,235,85100,Available,86.3,0,0
EQ-1066,B03,Bhopal,ET04,Tactical UAV Launcher,Surveillance Systems,Maintenance,2026-07-30,2026-08-29,285,262,191300,Critical Shortage,52.8,15,1
EQ-1067,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-20,2026-09-18,433,171,17200,Available,88.2,0,0
EQ-1068,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-17,2026-08-15,1139,245,83600,Low,91.7,0,0
EQ-1069,B08,Pune,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-09,2026-08-07,1000,213,70800,Available,96.1,0,0
EQ-1070,B08,Pune,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-08,2026-10-06,730,162,72200,Available,89.9,0,0
EQ-1071,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-31,2026-09-29,463,191,21300,Available,82.2,0,0
EQ-1072,B04,Delhi,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-29,2026-08-28,286,271,106200,Available,96.4,0,0
EQ-1073,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-08-04,2026-10-03,446,173,19100,Available,83.7,0,0
EQ-1074,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-08-01,2026-09-30,623,245,21500,Available,86.6,0,0
EQ-1075,B06,Jodhpur,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-19,2026-08-18,72,64,77500,Available,87.1,0,0
EQ-1076,B04,Delhi,ET05,Mobile Radar Unit,Air Defense,Operational,2026-06-08,2026-08-07,494,236,128100,Low,98.2,0,0
EQ-1077,B08,Pune,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-04,2026-08-02,951,199,82900,Available,82.0,0,0
EQ-1078,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-24,2026-08-08,358,242,54800,Available,91.5,0,0
EQ-1079,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-16,2026-08-15,516,179,19400,Low,91.9,0,0
EQ-1080,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-08-04,2026-10-03,211,85,16700,Available,93.3,0,0
EQ-1081,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-24,2026-08-22,830,184,78300,Available,82.2,0,0
EQ-1082,B02,Kanpur,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-05,2026-08-04,231,212,114400,Available,94.7,0,0
EQ-1083,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-27,2026-09-25,679,241,22100,Available,81.2,0,0
EQ-1084,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-16,2026-09-14,370,151,19700,Available,85.8,0,0
EQ-1085,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-31,2026-08-30,169,154,93300,Available,84.9,0,0
EQ-1086,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-28,2026-08-26,907,169,78200,Available,98.8,0,0
EQ-1087,B03,Bhopal,ET05,Mobile Radar Unit,Air Defense,Maintenance,2026-06-21,2026-08-20,570,240,240800,Low,61.1,21,0
EQ-1088,B01,Lucknow,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-08,2026-09-21,795,211,58100,Low,95.5,0,0
EQ-1089,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-14,2026-08-13,374,151,18300,Available,87.2,0,0
EQ-1090,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Maintenance,2026-05-20,2026-08-03,809,220,95700,Available,47.3,9,1
EQ-1091,B06,Jodhpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-06-19,2026-09-17,952,199,137300,Critical Shortage,55.3,11,1
EQ-1092,B01,Lucknow,ET06,Artillery Tractor,Heavy Towing,Maintenance,2026-06-11,2026-08-25,854,243,93100,Available,48.4,11,1
EQ-1093,B06,Jodhpur,ET04,Tactical UAV Launcher,Surveillance Systems,Maintenance,2026-07-05,2026-08-04,170,159,152800,Low,49.0,15,1
EQ-1094,B06,Jodhpur,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-28,2026-09-11,343,240,58200,Available,90.8,0,0
EQ-1095,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-08-04,2026-11-02,901,175,73300,Low,82.5,0,0
EQ-1096,B08,Pune,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-07-17,2026-08-31,264,172,70000,Critical Shortage,46.3,15,1
EQ-1097,B06,Jodhpur,ET05,Mobile Radar Unit,Air Defense,Maintenance,2026-07-03,2026-09-01,434,209,246900,Low,66.0,13,0
EQ-1098,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-08,2026-08-07,532,186,17900,Available,96.4,0,0
EQ-1099,B04,Delhi,ET04,Tactical UAV Launcher,Surveillance Systems,Maintenance,2026-08-04,2026-09-03,220,195,175700,Available,50.7,14,1
EQ-1100,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-17,2026-10-15,891,183,69500,Available,93.0,0,0
EQ-1101,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-27,2026-09-10,258,175,56700,Low,81.4,0,0
EQ-1102,B07,Siliguri,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-23,2026-09-06,602,173,48000,Available,87.6,0,0
EQ-1103,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-24,2026-08-08,345,239,59000,Available,93.1,0,0
EQ-1104,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-26,2026-08-24,741,154,71700,Available,95.7,0,0
EQ-1105,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-07-05,2026-08-19,384,250,95800,Low,47.5,9,1
EQ-1106,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-25,2026-08-24,527,193,19900,Available,87.3,0,0
EQ-1107,B07,Siliguri,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-30,2026-10-28,1381,289,93600,Available,83.8,0,0
EQ-1108,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-08,2026-09-06,517,182,21400,Low,93.4,0,0
EQ-1109,B03,Bhopal,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-04,2026-08-03,212,207,92700,Low,90.3,0,0
EQ-1110,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-01,2026-07-31,454,171,18800,Available,80.8,0,0
EQ-1111,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-31,2026-09-29,244,88,16800,Available,81.4,0,0
EQ-1112,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-19,2026-08-03,354,258,62500,Critical Shortage,84.0,0,0
EQ-1113,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-09,2026-08-23,398,263,51100,Available,94.9,0,0
EQ-1114,B02,Kanpur,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-04,2026-08-03,354,318,109200,Available,86.9,0,0
EQ-1115,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-20,2026-08-19,453,166,19300,Available,97.1,0,0
EQ-1116,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-19,2026-10-17,1046,210,81200,Available,80.7,0,0
EQ-1117,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-28,2026-08-12,390,257,51900,Available,91.7,0,0
EQ-1118,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-20,2026-08-19,311,122,15600,Available,88.1,0,0
EQ-1119,B06,Jodhpur,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-03,2026-09-01,519,252,139700,Available,81.5,0,0
EQ-1120,B05,Leh,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-01,2026-09-29,1043,232,87400,Critical Shortage,86.7,0,0
EQ-1121,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-23,2026-09-21,1087,234,91300,Available,88.7,0,0
EQ-1122,B02,Kanpur,ET04,Tactical UAV Launcher,Surveillance Systems,Out of Service,2026-07-21,2026-08-20,158,149,201700,Critical Shortage,20.9,25,1
EQ-1123,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-27,2026-08-11,474,344,63800,Low,85.0,0,0
EQ-1124,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-20,2026-09-03,228,175,50200,Available,88.5,0,0
EQ-1125,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-16,2026-08-15,544,201,19000,Available,88.5,0,0
EQ-1126,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-25,2026-08-24,703,273,24800,Low,88.9,0,0
EQ-1127,B06,Jodhpur,ET05,Mobile Radar Unit,Air Defense,Operational,2026-06-04,2026-08-03,294,145,136700,Available,89.1,0,0
EQ-1128,B06,Jodhpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-05-18,2026-08-16,834,166,121700,Low,56.3,13,1
EQ-1129,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-10,2026-08-09,499,179,18200,Available,98.9,0,0
EQ-1130,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-05,2026-10-03,765,169,64200,Available,80.8,0,0
EQ-1131,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-27,2026-08-25,583,117,60200,Low,90.1,0,0
EQ-1132,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-04,2026-08-03,461,178,19400,Available,93.3,0,0
EQ-1133,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-23,2026-08-07,284,196,52500,Available,96.8,0,0
EQ-1134,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-01,2026-08-30,539,196,37200,Critical Shortage,58.1,21,1
EQ-1135,B07,Siliguri,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-07-07,2026-10-05,675,149,134100,Low,66.4,15,0
EQ-1136,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-11,2026-09-09,645,244,22100,Available,98.9,0,0
EQ-1137,B05,Leh,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-18,2026-09-16,378,155,137000,Available,95.6,0,0
EQ-1138,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-13,2026-09-11,426,160,17300,Low,98.4,0,0
EQ-1139,B01,Lucknow,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-10,2026-09-23,845,235,60400,Available,91.0,0,0
EQ-1140,B05,Leh,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-12,2026-09-10,278,133,108700,Available,83.5,0,0
EQ-1141,B07,Siliguri,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-05,2026-08-03,1072,206,74600,Available,91.6,0,0
EQ-1142,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-18,2026-09-16,563,233,35500,Available,47.1,19,1
EQ-1143,B02,Kanpur,ET04,Tactical UAV Launcher,Surveillance Systems,Out of Service,2026-07-24,2026-08-23,137,114,152700,Low,15.4,33,1
EQ-1144,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-28,2026-09-26,473,183,20700,Available,96.0,0,0
EQ-1145,B03,Bhopal,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-08-03,2026-09-02,228,207,97000,Low,90.6,0,0
EQ-1146,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-08-01,2026-09-15,462,306,62900,Low,80.6,0,0
EQ-1147,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-03,2026-08-17,283,185,46900,Available,93.8,0,0
EQ-1148,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-01,2026-08-30,284,115,15400,Available,98.2,0,0
EQ-1149,B01,Lucknow,ET05,Mobile Radar Unit,Air Defense,Operational,2026-06-07,2026-08-06,477,221,141100,Available,98.0,0,0
EQ-1150,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-06,2026-09-04,507,188,20300,Available,90.4,0,0
EQ-1151,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-08,2026-08-22,401,275,57300,Available,86.0,0,0
EQ-1152,B02,Kanpur,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-05-12,2026-08-10,1139,212,98800,Available,59.9,7,1
EQ-1153,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-29,2026-09-12,325,219,59800,Available,81.5,0,0
EQ-1154,B07,Siliguri,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-18,2026-09-01,426,273,49400,Available,97.5,0,0
EQ-1155,B06,Jodhpur,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-17,2026-09-15,436,209,150600,Available,94.3,0,0
EQ-1156,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-26,2026-09-24,760,159,79600,Low,93.0,0,0
EQ-1157,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-09,2026-09-07,624,258,24700,Available,92.1,0,0
EQ-1158,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-04,2026-09-02,1054,218,89200,Available,83.8,0,0
EQ-1159,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-25,2026-10-08,439,135,46700,Available,96.2,0,0
EQ-1160,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-15,2026-08-14,564,204,18400,Available,95.3,0,0
EQ-1161,B06,Jodhpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-05-24,2026-08-07,569,146,49900,Available,86.1,0,0
EQ-1162,B01,Lucknow,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-06,2026-08-20,799,234,60900,Available,83.9,0,0
EQ-1163,B07,Siliguri,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-10,2026-09-23,921,252,56700,Available,83.7,0,0
EQ-1164,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-25,2026-08-24,385,138,16700,Available,84.5,0,0
EQ-1165,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-15,2026-09-13,610,218,21200,Available,90.5,0,0
EQ-1166,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Out of Service,2026-06-08,2026-08-07,477,193,50300,Critical Shortage,15.7,32,1
EQ-1167,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-15,2026-08-29,415,309,52800,Available,89.1,0,0
EQ-1168,B06,Jodhpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-08,2026-08-22,943,289,57200,Critical Shortage,87.4,0,0
EQ-1169,B06,Jodhpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-18,2026-09-16,461,163,18100,Available,88.7,0,0
EQ-1170,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-05,2026-08-19,299,214,61200,Critical Shortage,97.6,0,0
EQ-1171,B04,Delhi,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-12,2026-10-10,736,150,70100,Available,91.5,0,0
EQ-1172,B01,Lucknow,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-02,2026-09-15,540,154,49100,Available,90.6,0,0
EQ-1173,B04,Delhi,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-21,2026-09-19,444,191,130500,Available,93.9,0,0
EQ-1174,B01,Lucknow,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-13,2026-08-27,401,280,60400,Available,97.5,0,0
EQ-1175,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Operational,2026-08-03,2026-10-17,686,208,59300,Available,94.4,0,0
EQ-1176,B05,Leh,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-24,2026-10-07,760,236,64400,Available,97.5,0,0
EQ-1177,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-06-12,2026-08-11,445,175,25000,Available,64.3,18,0
EQ-1178,B05,Leh,ET06,Artillery Tractor,Heavy Towing,Out of Service,2026-07-21,2026-10-04,944,267,116700,Available,33.2,22,1
EQ-1179,B01,Lucknow,ET04,Tactical UAV Launcher,Surveillance Systems,Out of Service,2026-07-12,2026-08-11,201,181,175600,Available,20.1,39,1
EQ-1180,B01,Lucknow,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-21,2026-09-04,1145,331,66400,Available,81.1,0,0
EQ-1181,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-03,2026-08-02,507,203,20300,Available,94.5,0,0
